"","X","Player","Span","Mat","Start","Sub","Pts","Tries","Conv","Pens","Drop","GfM","Won","Lost","Draw","X.","Team"
"1",1,"RH McCaw ","2001-2015",148,141,7,"135",27,0,0,0,0,131,15,2,89.18,"NZ"
"2",2,"AW Jones ","2006-2020",147,134,13,"45",9,0,0,0,0,73,72,2,50.34,"Lions/Wales"
"3",3,"SM Parisse ","2002-2019",142,139,3,"83",16,0,0,1,0,35,106,1,25,"Italy"
"4",4,"BG O'Driscoll ","1999-2014",141,140,1,"250",47,0,0,5,0,82,57,2,58.86,"Ire/Lions"
"5",5,"GM Gregan ","1994-2007",139,133,6,"99",18,0,0,3,0,93,44,2,67.62,"Aust"
"6",6,"GD Jenkins ","2002-2016",134,98,36,"20",4,0,0,0,0,61,70,3,46.64,"Lions/Wales"
"7",7,"KF Mealamu ","2002-2015",132,77,55,"60",12,0,0,0,0,114,16,2,87.12,"NZ"
"8",8,"RJR O'Gara ","2000-2013",130,87,43,"1083",16,176,202,15,0,73,54,3,57.3,"Ire/Lions"
"9",9,"ST Moore ","2005-2017",129,97,32,"40",8,0,0,0,0,73,54,2,57.36,"Aust"
"10",10,"V Matfield ","2001-2015",127,121,6,"35",7,0,0,0,0,79,46,2,62.99,"SA"
"11",11,"KJ Read ","2008-2019",127,120,7,"130",26,0,0,0,0,107,16,4,85.82,"NZ"
"12",12,"RD Best ","2005-2019",124,102,22,"60",12,0,0,0,0,73,48,3,60.08,"Ire"
"13",13,"BG Habana ","2004-2016",124,122,2,"335",67,0,0,0,0,79,42,3,64.91,"SA"
"14",14,"FA Vlaicu ","2006-2020",124,99,25,"992",14,172,191,4,0,77,44,3,63.3,"Rom"
"15",15,"D Kacharava ","2006-2020",122,104,18,"125",25,0,0,0,0,79,40,3,65.98,"Georg"
"16",16,"AP Ashley-Cooper ","2005-2019",121,113,8,"195",39,0,0,0,0,68,50,3,57.43,"Aust"
"17",17,"ML Castrogiovanni ","2002-2016",119,91,28,"60",12,0,0,0,0,30,88,1,25.63,"Italy"
"18",18,"J Leonard ","1990-2004",119,104,15,"5",1,0,0,0,0,89,28,2,75.63,"Eng/Lions"
"19",19,"A Zanni ","2005-2020",119,93,26,"20",4,0,0,0,0,31,87,1,26.47,"Italy"
"20",20,"F Pelous ","1995-2007",118,106,12,"40",8,0,0,0,0,79,38,1,67.37,"Fra"
"21",21,"TD Woodcock ","2002-2015",118,105,13,"50",10,0,0,0,0,102,15,1,86.86,"NZ"
"22",22,"T Mtawarira ","2008-2019",117,102,15,"10",2,0,0,0,0,74,38,5,65.38,"SA"
"23",23,"SL Whitelock ","2010-2019",117,97,20,"30",6,0,0,0,0,101,12,4,88.03,"NZ"
"24",24,"NC Sharpe ","2002-2012",116,109,7,"40",8,0,0,0,0,70,44,2,61.2,"Aust"
"25",25,"Y Kushnarev ","2005-2020",115,99,16,"784",11,150,141,2,0,54,59,2,47.82,"Russ"
"26",26,"M Kvirikashvili ","2003-2018",115,94,21,"840",17,148,150,3,0,72,40,3,63.91,"Georg"
"27",27,"PJ O'Connell ","2002-2015",115,106,9,"40",8,0,0,0,0,69,44,2,60.86,"Ire/Lions"
"28",28,"M Bortolami ","2001-2015",112,92,20,"35",7,0,0,0,0,29,82,1,26.33,"Italy"
"29",29,"DW Carter ","2003-2015",112,106,6,"1598",29,293,281,8,0,99,12,1,88.83,"NZ"
"30",30,"RW Ford ","2004-2017",111,88,23,"25",5,0,0,0,0,46,64,1,41.89,"Lions/Scot"
"31",31,"PJP Sella ","1982-1995",111,110,1,"125",30,0,0,0,0,70,36,5,65.31,"Fra"
"32",32,"JW Smit ","2000-2011",111,94,17,"40",8,0,0,0,0,69,40,2,63.06,"SA"
"33",33,"GB Smith ","2000-2013",111,93,18,"45",9,0,0,0,0,65,44,2,59.45,"Aust"
"34",34,"SW Genia ","2009-2019",110,93,17,"100",20,0,0,0,0,55,52,3,51.36,"Aust"
"35",35,"SM Jones ","1998-2011",110,91,19,"970",7,160,198,7,0,44,63,3,41.36,"Lions/Wales"
"36",36,"SM Kepu ","2008-2019",110,73,37,"20",4,0,0,0,0,57,49,4,53.63,"Aust"
"37",37,"J de Villiers ","2002-2015",109,105,4,"135",27,0,0,0,0,71,35,3,66.51,"SA"
"38",38,"C Fercu ","2005-2020",109,107,2,"171",33,1,1,0,0,73,33,3,68.34,"Rom"
"39",39,"CD Paterson ","1999-2011",109,96,13,"809",22,90,170,3,0,43,65,1,39.9,"Scot"
"40",40,"OT Franks ","2009-2019",108,98,10,"0",0,0,0,0,0,91,13,4,86.11,"NZ"
"41",41,"JJ Hayes ","2000-2011",107,100,7,"10",2,0,0,0,0,67,37,3,64.01,"Ire/Lions"
"42",42,"M Bergamasco ","1998-2015",106,90,16,"75",15,0,0,0,0,31,75,0,29.24,"Italy"
"43",43,"SF Lamont ","2004-2016",105,93,12,"70",14,0,0,0,0,44,60,1,42.38,"Scot"
"44",44,"LL Ghiraldini ","2006-2019",104,84,20,"30",6,0,0,0,0,20,84,0,19.23,"Italy"
"45",45,"ME Williams ","1996-2012",104,88,16,"73",14,0,0,1,0,45,56,3,44.71,"Lions/Wales"
"46",46,"MJ Giteau ","2002-2016",103,89,14,"698",30,106,108,4,0,59,42,2,58.25,"Aust"
"47",47,"V Gresev ","2006-2020",103,93,10,"100",20,0,0,0,0,45,57,1,44.17,"Russ"
"48",48,"A Lo Cicero Vaina ","2000-2013",103,79,24,"40",8,0,0,0,0,32,70,1,31.55,"Italy"
"49",49,"MA Nonu ","2003-2015",103,87,16,"155",31,0,0,0,0,91,10,2,89.32,"NZ"
"50",50,"G Thomas ","1995-2007",103,97,6,"205",41,0,0,0,0,51,51,1,50,"Lions/Wales"
"51",51,"SJ Larkham ","1996-2007",102,97,5,"135",25,2,0,2,0,68,31,3,68.13,"Aust"
"52",52,"PC Montgomery ","1997-2008",102,90,12,"893",25,153,148,6,0,67,34,1,66.17,"SA"
"53",53,"DI Campese ","1982-1996",101,100,1,"315",64,8,7,2,0,67,32,2,67.32,"Aust"
"54",54,"G Chkhaidze ","2002-2019",101,78,23,"35",7,0,0,0,0,66,32,3,66.83,"Georg"
"55",55,"A Troncon ","1994-2007",101,94,7,"95",19,0,0,0,0,33,67,1,33.16,"Italy"
"56",56,"GNBS Uva ","2004-2018",101,95,6,"45",9,0,0,0,0,40,56,5,42.07,"Port"
"57",57,"VNBS Uva ","2003-2016",101,94,7,"65",13,0,0,0,0,39,57,5,41.08,"Port"
"58",58,"BR Youngs ","2010-2020",101,78,23,"70",14,0,0,0,0,69,30,2,69.3,"Eng/Lions"
"59",59,"VN Calafeteanu ","2004-2019",100,54,46,"233",11,32,37,1,0,61,37,2,62,"Rom"
"60",60,"AM Garbuzov ","2005-2020",100,76,24,"40",8,0,0,0,0,45,54,1,45.5,"Russ"
"61",61,"JPR Heaslip ","2006-2017",100,96,4,"65",13,0,0,0,0,52,44,4,54,"Ire/Lions"
"62",62,"AR Jones ","2003-2014",100,88,12,"10",2,0,0,0,0,49,48,3,50.5,"Lions/Wales"
"63",63,"JM Muliaina ","2003-2011",100,95,5,"170",34,0,0,0,0,84,16,0,84,"NZ"
"64",64,"RA Simmons ","2010-2019",100,58,42,"15",3,0,0,0,0,52,45,3,53.5,"Aust"
"65",65,"MK Hooper ","2012-2019",99,93,6,"95",19,0,0,0,0,48,47,4,50.5,"Aust"
"66",66,"L Malaguradze ","2008-2020",99,51,48,"190",6,38,25,3,0,67,30,2,68.68,"Georg"
"67",67,"WM Phillips ","2003-2015",99,72,27,"50",10,0,0,0,0,47,50,2,48.48,"Lions/Wales"
"68",68,"DR Cole ","2010-2019",98,82,16,"20",4,0,0,0,0,68,27,3,70.91,"Eng/Lions"
"69",69,"CEJ Healy ","2009-2020",98,76,22,"25",5,0,0,0,0,59,36,3,61.73,"Ire"
"70",70,"R Ibanez ","1996-2007",98,75,23,"40",8,0,0,0,0,63,34,1,64.79,"Fra"
"71",71,"RDJ Kearney ","2007-2019",98,93,5,"87",17,1,0,0,0,53,42,3,55.61,"Ire/Lions"
"72",72,"GP North ","2010-2020",98,95,3,"210",42,0,0,0,0,55,41,2,57.14,"Lions/Wales"
"73",73,"DF O'Callaghan ","2003-2013",98,70,28,"5",1,0,0,0,0,53,41,4,56.12,"Ire/Lions"
"74",74,"H Ono ","2004-2016",98,78,20,"65",13,0,0,0,0,60,35,3,62.75,"JPN"
"75",75,"PA Stringer ","2000-2011",98,81,17,"30",6,0,0,0,0,67,30,1,68.87,"Ire"
"76",76,"DM Hartley ","2008-2018",97,72,25,"20",4,0,0,0,0,66,29,2,69.07,"Eng"
"77",77,"JH Roberts ","2008-2017",97,88,9,"70",14,0,0,0,0,49,47,1,51.03,"Lions/Wales"
"78",78,"JJ Sexton ","2009-2020",97,87,10,"819",14,112,171,4,0,58,36,3,61.34,"Ire/Lions"
"79",79,"JP Wilkinson ","1998-2011",97,85,12,"1246",7,169,255,36,0,67,28,2,70.1,"Eng/Lions"
"80",80,"CL Charvis ","1996-2007",96,84,12,"110",22,0,0,0,0,43,51,2,45.83,"Lions/Wales"
"81",81,"JA Slipper ","2010-2019",96,45,51,"5",1,0,0,0,0,52,42,2,55.2,"Aust"
"82",82,"A Masi ","1999-2015",95,82,13,"65",13,0,0,0,0,23,72,0,24.21,"Italy"
"83",83,"G Nemsadze ","2005-2019",95,71,24,"75",15,0,0,0,0,62,32,1,65.78,"Georg"
"84",84,"CG Smith ","2004-2015",94,90,4,"130",26,0,0,0,0,84,9,1,89.89,"NZ"
"85",85,"V Artemyev ","2009-2020",93,89,4,"145",29,0,0,0,0,40,52,1,43.54,"Russ"
"86",86,"S Blanco ","1980-1991",93,93,0,"233",38,6,21,2,0,54,36,3,59.67,"Fra"
"87",87,"SL Halfpenny ","2008-2020",93,88,5,"794",14,77,190,0,0,49,44,0,52.68,"Lions/Wales"
"88",88,"KJ Beale ","2009-2019",92,65,27,"156",19,2,19,0,0,52,36,4,58.69,"Aust"
"89",89,"SBT Fitzpatrick ","1986-1997",92,91,1,"55",12,0,0,0,0,74,16,2,81.52,"NZ"
"90",90,"MO Johnson ","1993-2003",92,90,2,"10",2,0,0,0,0,71,19,2,78.26,"Eng/Lions"
"91",91,"GO Llewellyn ","1989-2004",92,82,10,"24",5,0,0,0,0,38,54,0,41.3,"Wales"
"92",92,"DG Magno ","2008-2019",92,61,31,"56",11,0,0,0,0,45,45,2,50,"Urug"
"93",93,"ME O'Kelly ","1997-2009",92,80,12,"40",8,0,0,0,0,51,41,0,55.43,"Ire"
"94",94,"CC Petre ","2001-2012",92,83,9,"30",6,0,0,0,0,50,40,2,55.43,"Rom"
"95",95,"AL Smith ","2012-2019",92,84,8,"97",19,1,0,0,0,78,10,4,86.95,"NZ"
"96",96,"R Underwood ","1984-1996",92,92,0,"215",50,0,0,0,0,58,32,2,64.13,"Eng/Lions"
"97",97,"NR Jenkins ","1991-2002",91,84,7,"1090",11,131,248,10,0,46,43,2,51.64,"Lions/Wales"
"98",98,"SM Williams ","2000-2011",91,87,4,"300",60,0,0,0,0,42,46,3,47.8,"Lions/Wales"
"99",99,"SUT Polota-Nau ","2005-2019",90,39,51,"25",5,0,0,0,0,55,31,4,63.33,"Aust"
"100",100,"M Bergamasco ","2002-2012",89,82,7,"256",17,12,49,0,0,22,66,1,25.28,"Italy"
"101",101,"A Creevy ","2005-2019",89,59,30,"15",3,0,0,0,0,26,63,0,29.21,"Arg"
"102",102,"LJ McLean ","2008-2017",89,75,14,"74",7,0,13,0,0,18,71,0,20.22,"Italy"
"103",103,"OCC Magne ","1997-2007",89,79,10,"70",14,0,0,0,0,59,28,2,67.41,"Fra"
"104",104,"JH van der Westhuizen ","1993-2003",89,78,11,"190",38,0,0,0,0,60,28,1,67.97,"SA"
"105",105,"LBN Dallaglio ","1995-2007",88,73,15,"85",17,0,0,0,0,62,24,2,71.59,"Eng/Lions"
"106",106,"CM Gal ","2005-2015",88,65,23,"22",4,1,0,0,0,49,37,2,56.81,"Rom"
"107",107,"R Pienaar ","2006-2015",88,45,43,"135",8,22,17,0,0,59,27,2,68.18,"SA"
"108",108,"F Contepomi ","1998-2013",87,75,12,"651",16,74,139,2,0,42,45,0,48.27,"Arg"
"109",109,"JJV Davies ","2009-2019",87,84,3,"80",16,0,0,0,0,49,36,2,57.47,"Lions/Wales"
"110",110,"OA Farrell ","2012-2020",87,75,12,"945",10,152,194,3,0,59,25,3,69.54,"Eng/Lions"
"111",111,"J Ferreira ","1993-2007",87,81,6,"15",3,0,0,0,0,42,41,4,50.57,"Port"
"112",112,"CL Lawes ","2009-2020",87,59,28,"5",1,0,0,0,0,61,24,2,71.26,"Eng/Lions"
"113",113,"JM Leguizamon ","2005-2019",87,64,23,"65",13,0,0,0,0,34,53,0,39.08,"Arg"
"114",114,"M Macovei ","2006-2020",87,77,10,"95",19,0,0,0,0,52,34,1,60.34,"Rom"
"115",115,"S Murray ","1997-2007",87,84,3,"15",3,0,0,0,0,31,55,1,36.2,"Scot"
"116",116,"L Arbizu ","1990-2005",86,83,3,"183",16,14,14,11,0,41,44,1,48.25,"Arg"
"117",117,"SWP Burger ","2003-2015",86,72,14,"80",16,0,0,0,0,57,28,1,66.86,"SA"
"118",118,"GJ Canale ","2003-2013",86,76,10,"35",7,0,0,0,0,27,58,1,31.97,"Italy"
"119",119,"JA Eales ","1991-2001",86,86,0,"173",2,31,34,0,0,66,18,2,77.9,"Aust"
"120",120,"RA Martin ","1994-2003",86,77,9,"90",18,0,0,0,0,44,41,1,51.74,"Arg"
"121",121,"GC Murray ","2011-2020",86,79,7,"92",15,4,3,0,0,48,34,4,58.13,"Ire/Lions"
"122",122,"JW Roff ","1995-2004",86,79,7,"244",30,20,18,0,0,61,23,2,72.09,"Aust"
"123",123,"D Traille ","2001-2011",86,71,15,"128",14,8,12,2,0,55,29,2,65.11,"Fra"
"124",124,"I Abuseridze ","2000-2013",85,76,9,"40",8,0,0,0,0,52,30,3,62.94,"Georg"
"125",125,"MRL Blair ","2002-2012",85,49,36,"35",7,0,0,0,0,33,52,0,38.82,"Scot"
"126",126,"JP Botha ","2002-2014",85,77,8,"35",7,0,0,0,0,64,21,0,75.29,"SA"
"127",127,"E Etzebeth ","2012-2019",85,80,5,"15",3,0,0,0,0,51,29,5,62.94,"SA"
"128",128,"NGA Mas ","2003-2015",85,66,19,"5",1,0,0,0,0,48,35,2,57.64,"Fra"
"129",129,"A Todua ","2008-2020",85,75,10,"70",14,0,0,0,0,53,31,1,62.94,"Georg"
"130",130,"AMMD Aguilar ","1999-2014",84,74,10,"120",24,0,0,0,0,30,52,2,36.9,"Port"
"131",131,"DS Care ","2008-2018",84,38,46,"79",14,0,0,3,0,53,29,2,64.28,"Eng"
"132",132,"MJS Dawson ","1995-2006",84,59,25,"111",18,6,3,0,0,53,30,1,63.69,"Eng/Lions"
"133",133,"KG Earls ","2008-2020",84,74,10,"150",30,0,0,0,0,50,30,4,61.9,"Ire"
"134",134,"M Landajo ","2008-2018",84,58,26,"35",7,0,0,0,0,27,56,1,32.73,"Arg"
"135",135,"ME Ledesma Arocena ","1996-2011",84,67,17,"15",3,0,0,0,0,42,41,1,50.59,"Arg"
"136",136,"S Marconnet ","1998-2011",84,58,26,"15",3,0,0,0,0,49,34,1,58.92,"Fra"
"137",137,"BR Smith ","2009-2019",84,72,12,"195",39,0,0,0,0,74,7,3,89.88,"NZ"
"138",138,"F Surugiu ","2008-2020",84,56,28,"30",6,0,0,0,0,53,30,1,63.69,"Rom"
"139",139,"GPJ Townsend ","1993-2003",84,77,7,"164",17,8,14,7,0,34,48,2,41.66,"Lions/Scot"
"140",140,"BJ Barrett ","2012-2019",83,53,30,"649",36,149,55,2,0,72,8,3,88.55,"NZ"
"141",141,"DR Biggar ","2008-2020",83,66,17,"439",6,71,82,7,0,46,35,2,56.62,"Wales"
"142",142,"C Checchinato ","1990-2004",83,73,10,"105",21,0,0,0,0,31,51,1,37.95,"Italy"
"143",143,"GW D'Arcy ","1999-2015",83,74,9,"35",7,0,0,0,0,53,28,2,65.06,"Ire/Lions"
"144",144,"AK Hore ","2002-2013",83,47,36,"40",8,0,0,0,0,70,11,2,85.54,"NZ"
"145",145,"L Khmaladze ","2008-2020",83,65,18,"53",9,4,0,0,0,55,26,2,67.46,"Georg"
"146",146,"S Perugini ","2000-2011",83,53,30,"0",0,0,0,0,0,20,62,1,24.69,"Italy"
"147",147,"DW Pocock ","2008-2019",83,70,13,"45",9,0,0,0,0,47,35,1,57.22,"Aust"
"148",148,"D Szarzewski ","2004-2015",83,44,39,"35",7,0,0,0,0,48,34,1,58.43,"Fra"
"149",149,"GT Dempsey ","1998-2008",82,68,14,"95",19,0,0,0,0,50,32,0,60.97,"Ire"
"150",150,"I Harinordoquy ","2002-2012",82,66,16,"65",13,0,0,0,0,52,28,2,64.63,"Fra"
"151",151,"LGP Picamoles ","2008-2019",82,62,20,"50",10,0,0,0,0,37,42,3,46.95,"Fra"
"152",152,"S Sutiashvili ","2005-2020",82,53,29,"10",2,0,0,0,0,59,21,2,73.17,"Georg"
"153",153,"MC Burke ","1993-2004",81,69,12,"878",29,104,174,1,0,55,25,1,68.51,"Aust"
"154",154,"CMH Gibson ","1964-1979",81,80,1,"112",9,7,16,6,0,31,39,11,45.06,"Ire/Lions"
"155",155,"JW Hook ","2006-2015",81,50,31,"352",13,46,61,4,0,36,43,2,45.67,"Wales"
"156",156,"J Kaino ","2006-2017",81,76,5,"60",12,0,0,0,0,68,11,2,85.18,"NZ"
"157",157,"JW Marshall ","1995-2005",81,74,7,"120",24,0,0,0,0,61,19,1,75.92,"NZ"
"158",158,"F Ongaro ","2000-2012",81,48,33,"25",5,0,0,0,0,25,55,1,31.48,"Italy"
"159",159,"H Onozawa ","2001-2013",81,73,8,"275",55,0,0,0,0,41,37,3,52.46,"JPN"
"160",160,"BA Retallick ","2012-2019",81,67,14,"25",5,0,0,0,0,72,5,4,91.35,"NZ"
"161",161,"A Carpenter ","2005-2017",80,61,19,"85",17,0,0,0,0,29,48,3,38.12,"Can"
"162",162,"JCGO Correia ","2003-2014",80,73,7,"20",4,0,0,0,0,30,46,4,40,"Port"
"163",163,"JP du Randt ","1994-2007",80,75,5,"25",5,0,0,0,0,52,27,1,65.62,"SA"
"164",164,"TS Dusautoir ","2006-2015",80,79,1,"30",6,0,0,0,0,41,37,2,52.5,"Fra"
"165",165,"TT Faletau ","2011-2020",80,72,8,"40",8,0,0,0,0,40,38,2,51.25,"Lions/Wales"
"166",166,"TJ Horan ","1989-2000",80,80,0,"140",30,0,0,0,0,59,20,1,74.37,"Aust"
"167",167,"WJ McBride ","1962-1975",80,80,0,"7",2,0,0,0,0,33,34,13,49.37,"Ire/Lions"
"168",168,"SA Mortlock ","2000-2009",80,77,3,"489",29,61,74,0,0,52,28,0,65,"Aust"
"169",169,"FN Sanchez ","2010-2019",80,73,7,"748",12,107,146,12,0,22,57,1,28.12,"Arg"
"170",170,"BW du Plessis ","2007-2015",79,50,29,"55",11,0,0,0,0,55,23,1,70.25,"SA"
"171",171,"IC Evans ","1987-1998",79,79,0,"161",34,0,0,0,0,34,44,1,43.67,"Lions/Wales"
"172",172,"ID Jones ","1990-1999",79,75,4,"42",9,0,0,0,0,59,18,2,75.94,"NZ"
"173",173,"Y Motoki ","1991-2005",79,73,6,"45",9,0,0,0,0,31,47,1,39.87,"JPN"
"174",174,"KJ Owens ","2011-2020",79,44,35,"15",3,0,0,0,0,43,34,2,55.69,"Lions/Wales"
"175",175,"DJ Peel ","2001-2011",79,47,32,"25",5,0,0,0,0,35,42,2,45.56,"Lions/Wales"
"176",176,"SK Warburton ","2009-2017",79,71,8,"25",5,0,0,0,0,39,38,2,50.63,"Lions/Wales"
"177",177,"PR Waugh ","2000-2009",79,44,35,"20",4,0,0,0,0,46,31,2,59.49,"Aust"
"178",178,"DJ Wilson ","1992-2000",79,75,4,"65",13,0,0,0,0,60,18,1,76.58,"Aust"
"179",179,"JPR Worsley ","1999-2011",79,52,27,"50",10,0,0,0,0,48,30,1,61.39,"Eng/Lions"
"180",180,"A Benazzi ","1990-2001",78,71,7,"45",9,0,0,0,0,48,30,0,61.53,"Fra"
"181",181,"K Hatakeyama ","2008-2016",78,57,21,"50",10,0,0,0,0,50,27,1,64.74,"JPN"
"182",182,"RP Jones ","2004-2013",78,63,15,"10",2,0,0,0,0,39,37,2,51.28,"Lions/Wales"
"183",183,"A Kuzin ","1997-2011",78,68,10,"130",26,0,0,0,0,38,37,3,50.64,"Russ"
"184",184,"CE Latham ","1998-2007",78,68,10,"200",40,0,0,0,0,50,26,2,65.38,"Aust"
"185",185,"JM Nava de Olano ","2002-2018",78,68,10,"69",6,3,11,0,0,28,46,4,38.46,"Spain"
"186",186,"PL Sporleder ","1990-2003",78,72,6,"70",14,0,0,0,0,41,36,1,53.2,"Arg"
"187",187,"PJ Vickery ","1998-2009",78,69,9,"10",2,0,0,0,0,50,28,0,64.1,"Eng/Lions"
"188",188,"MG Andrews ","1994-2001",77,74,3,"60",12,0,0,0,0,51,24,2,67.53,"SA"
"189",189,"GC Bulloch ","1997-2005",77,71,6,"20",4,0,0,0,0,26,50,1,34.41,"Lions/Scot"
"190",190,"JAW Haskell ","2007-2018",77,55,22,"20",4,0,0,0,0,47,28,2,62.33,"Eng"
"191",191,"NJ Hines ","2000-2011",77,51,26,"10",2,0,0,0,0,30,46,1,39.61,"Scot"
"192",192,"F Michalak ","2001-2015",77,52,25,"436",10,61,79,9,0,48,27,2,63.63,"Fra"
"193",193,"V Poparlan ","2007-2020",77,50,27,"55",11,0,0,0,0,48,29,0,62.33,"Rom"
"194",194,"JC Tipuric ","2011-2020",77,46,31,"45",9,0,0,0,0,45,31,1,59.09,"Lions/Wales"
"195",195,"JPR White ","2000-2009",77,62,15,"20",4,0,0,0,0,31,46,0,40.25,"Scot"
"196",196,"AJ Williams ","2002-2012",77,63,14,"35",7,0,0,0,0,65,11,1,85.06,"NZ"
"197",197,"T Zibzibadze ","2000-2014",77,65,12,"115",23,0,0,0,0,48,25,4,64.93,"Georg"
"198",198,"CR Andrew ","1985-1997",76,74,2,"407",2,34,87,23,0,53,21,2,71.05,"Eng/Lions"
"199",199,"JA Barclay ","2007-2019",76,68,8,"35",7,0,0,0,0,36,39,1,48.02,"Scot"
"200",200,"MJ Catt ","1994-2007",76,63,13,"142",7,16,22,3,0,50,25,1,66.44,"Eng/Lions"
"201",201,"AJ Charron ","1990-2003",76,76,0,"44",9,0,0,0,0,40,36,0,52.63,"Can"
"202",202,"TS Clever ","2003-2017",76,73,3,"80",16,0,0,0,0,29,45,2,39.47,"USA"
"203",203,"D Dominguez ","1989-2003",76,75,1,"1010",9,133,213,20,0,29,46,1,38.81,"Arg/Italy"
"204",204,"PF du Preez ","2004-2015",76,62,14,"80",16,0,0,0,0,54,21,1,71.71,"SA"
"205",205,"RS Gontineac ","1995-2008",76,75,1,"68",13,0,0,1,0,35,41,0,46.05,"Rom"
"206",206,"RA Hill ","1997-2005",76,73,3,"60",12,0,0,0,0,53,21,2,71.05,"Eng/Lions"
"207",207,"SW Hogg ","2012-2020",76,75,1,"115",20,0,4,1,0,36,40,0,47.36,"Scot"
"208",208,"A Khrokhin ","1994-2011",76,47,29,"35",7,0,0,0,0,36,38,2,48.68,"Russ"
"209",209,"GD Laidlaw ","2010-2019",76,68,8,"714",5,106,159,0,0,33,42,1,44.07,"Scot"
"210",210,"PMDC Leal ","2005-2017",76,60,16,"265",5,45,50,0,0,27,44,5,38.81,"Port"
"211",211,"LL Leivas Ballestrino ","2008-2019",76,63,13,"120",24,0,0,0,0,32,42,2,43.42,"Urug"
"212",212,"LFP Louw ","2010-2019",76,58,18,"50",10,0,0,0,0,47,27,2,63.15,"SA"
"213",213,"A Lungu ","1980-1995",76,75,1,"12",3,0,0,0,0,40,36,0,52.63,"Rom"
"214",214,"A Rougerie ","2001-2012",76,71,5,"115",23,0,0,0,0,48,27,1,63.81,"Fra"
"215",215,"MM Sagario Cagnani ","2006-2019",76,53,23,"5",1,0,0,0,0,32,42,2,43.42,"Urug"
"216",216,"LM Sirbu ","1996-2011",76,62,14,"50",10,0,0,0,0,40,34,2,53.94,"Rom"
"217",217,"SG Thompson ","2002-2011",76,54,22,"20",4,0,0,0,0,49,25,2,65.78,"Eng/Lions"
"218",218,"J Bonnaire ","2004-2012",75,55,20,"30",6,0,0,0,0,49,24,2,66.66,"Fra"
"219",219,"TM Cubelli ","2010-2019",75,31,44,"60",12,0,0,0,0,26,49,0,34.66,"Arg"
"220",220,"L Datunashvili ","2004-2015",75,47,28,"15",3,0,0,0,0,46,26,3,63.33,"Georg"
"221",221,"RD Elsom ","2005-2011",75,73,2,"70",14,0,0,0,0,43,30,2,58.66,"Aust"
"222",222,"M Gorgodze ","2003-2019",75,69,6,"135",27,0,0,0,0,46,25,4,64,"Georg"
"223",223,"JS Little ","1989-2000",75,62,13,"102",21,0,0,0,0,58,17,0,77.33,"Aust"
"224",224,"DP Mateus ","2000-2010",75,72,3,"78",15,0,1,0,0,33,38,4,46.66,"Port"
"225",225,"LE Pissarra ","1996-2007",75,58,17,"0",0,0,0,0,0,37,35,3,51.33,"Port"
"226",226,"F Tanaka ","2008-2019",75,60,15,"40",8,0,0,0,0,46,27,2,62.66,"JPN"
"227",227,"MJ Tindall ","2000-2011",75,71,4,"74",14,2,0,0,0,51,24,0,68,"Eng"
"228",228,"CJ van der Linde ","2002-2012",75,39,36,"20",4,0,0,0,0,43,31,1,58,"SA"
"229",229,"DP Wallace ","2000-2011",75,68,7,"60",12,0,0,0,0,45,29,1,60.66,"Ire/Lions"
"230",230,"TJ Bowe ","2004-2017",74,72,2,"150",30,0,0,0,0,40,32,2,55.4,"Ire/Lions"
"231",231,"LC Charteris ","2004-2017",74,45,29,"0",0,0,0,0,0,38,35,1,52.02,"Wales"
"232",232,"DJ Grewcock ","1997-2007",74,55,19,"10",2,0,0,0,0,45,28,1,61.48,"Eng/Lions"
"233",233,"G Guirado ","2008-2019",74,50,24,"40",8,0,0,0,0,34,38,2,47.29,"Fra"
"234",234,"JM Hernandez ","2003-2017",74,66,8,"176",8,20,23,9,0,33,41,0,44.59,"Arg"
"235",235,"P Ion ","2003-2015",74,52,22,"5",1,0,0,0,0,36,36,2,50,"Rom"
"236",236,"S Mamukashvili ","2011-2020",74,44,30,"45",9,0,0,0,0,48,25,1,65.54,"Georg"
"237",237,"LW Moody ","2001-2011",74,59,15,"50",10,0,0,0,0,46,26,2,63.51,"Eng/Lions"
"238",238,"GEA Murphy ","2000-2011",74,57,17,"98",18,1,1,1,0,43,29,2,59.45,"Ire/Lions"
"239",239,"L Nallet ","2000-2012",74,54,20,"45",9,0,0,0,0,49,24,1,66.89,"Fra"
"240",240,"JF Umaga ","1997-2005",74,73,1,"180",36,0,0,0,0,59,14,1,80.4,"NZ"
"241",241,"WDC Carling ","1988-1997",73,73,0,"54",12,0,0,0,0,53,19,1,73.28,"Eng/Lions"
"242",242,"DM Dumbrava ","2002-2015",73,57,16,"389",3,73,74,2,0,47,25,1,65.06,"Rom"
"243",243,"I Folau ","2013-2018",73,73,0,"185",37,0,0,0,0,33,37,3,47.26,"Aust"
"244",244,"JC Guscott ","1989-1999",73,70,3,"150",31,0,0,3,0,56,17,0,76.71,"Eng/Lions"
"245",245,"CP Hearn ","2008-2019",73,62,11,"63",8,7,3,0,0,25,47,1,34.93,"Can"
"246",246,"Y Jauzion ","2001-2011",73,65,8,"103",20,0,0,1,0,46,26,1,63.69,"Fra"
"247",247,"V Korshunov ","2002-2015",73,48,25,"25",5,0,0,0,0,32,39,2,45.2,"Russ"
"248",248,"I Machkhaneli ","2002-2014",73,68,5,"115",23,0,0,0,0,41,29,3,58.21,"Georg"
